,$- fb$,$+ fb$,$kb$,$k_1$,$k_3$,$k_5$,$s_1$,$k_2$,$k_4$,$k_6$,$d_1$,$K_{M1}$,$K_{M3}$,$K_{M5}$,$K_{M2}$,$K_{M4}$,$K_{M6}$
823,0.0012562657081153393,1394.7263822157718,10456.949815801243,0.13156744489160288,32.7054310565114,12360.408410015149,0.004035278511779487,45.83300942189367,0.07737805471396624,995.4401341479734,0.006459530732907424,3.2075710322395654,1.867909833718313,0.0003635890692116271,0.0002571811073992344,0.1788458945948408,0.20338474720886426
824,0.0002821693512609496,35.172813806428984,12307.55864697325,0.10223406056528109,631.68269214492,241.21665093635053,0.08130677967956453,0.801944558146857,0.010192284243696725,48.65963222694018,0.002847418598301317,1.1338974855579835,39.22000605732517,0.000453688918547101,0.00022278363992538815,0.003350156758003778,0.49383427066287733
825,503.8500988993585,2.003593396123978,0.00016052579966874774,19.99030198216055,2.683496590929466,11.234256582940139,1105.9350306535755,7.91587418186144,661.8024902416389,7905.335555720165,0.0016077474193752922,5630.259570550001,0.10555642215714936,8.810679619096258e-05,0.00012976249424829356,3553.7005426448945,2224.1736025622677
826,0.0002262502096267987,28.32897936934056,9527.05161118015,0.08899789350851753,628.6877563362401,324.3947846637469,0.07931412023045611,0.6821640936787242,0.013377198539398333,60.73410296109616,0.003253036931223713,1.1792690309937295,36.36474411203891,0.0002933434272442611,0.00033900417208460764,0.004853466771670742,0.579892257308282
827,0.0001528134909510756,22.363808132752965,12826.095020271674,0.07053949973982139,746.1941595627175,230.7268161915477,0.07439725122206922,0.5752043675428657,0.011193425691977819,46.92304338522246,0.0019401550960909503,0.707293793112209,36.671769356057496,0.0004054372471484342,0.00035409593832375487,0.0047536859636860196,0.5495201253521426
828,11.573095363965145,2.4616130902111255,123.4425808190361,0.4158828305073332,1.0266812221556894,11.813859122086853,29.396712859402836,66.79425464788821,2766.556455243414,128.7147918486012,0.003802668923283902,10.737437015900559,9.403134540736477e-05,0.0022939618251048228,0.00011597984567939749,7654.523321324835,35.805838131049555
829,0.00017437000681901773,31.527826343942834,10330.300647506632,0.086179407326958,685.36901041469,264.6439571086749,0.07584750495017131,0.7598103581338589,0.0143735005039655,49.793374526045696,0.002708053286614438,0.8509619085162604,29.507115709437542,0.00039885533119436,0.0002926130587251121,0.005700419557586926,0.5565052933442395
830,0.00019089060581703874,51.39350022151604,9354.765783794795,0.06908614655775935,692.1117822119406,334.91552814822035,0.06252081644100503,0.8220778415476278,0.01171118090508693,51.34819387870574,0.0026771609739491,0.8718974190824638,37.29751199257735,0.000285655592489466,0.00028798314307795954,0.004150533222394629,0.4571394727543201
831,0.00018515614341150092,30.05670858636099,10733.974709810265,0.09962668120588347,708.5304145301826,321.6989473051101,0.09129265726008108,0.6982101344596554,0.010416078493134263,49.635371993504656,0.0017823858041053548,0.819899955811928,46.98829714641833,0.0005259099553867036,0.0003067972351257749,0.003661332508663407,0.4740546547392425
832,0.00020703706380450492,45.864176651742675,2942.040647723356,0.04255958212461686,202.49223924239425,238.6618318834839,0.001035566537246142,0.17192114558616436,0.017395894364419934,8511.305242534238,0.0043626594076598526,149.73679872076787,12.921619390265043,0.0002012839443794133,0.00011968744144783234,0.04979196039443954,114.68393883897366
